,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240802C00100000,2024-07-29 16:08:35+00:00,100.0,118.68,118.4,120.2,0.0,0.0,12,19,4.339848325195312,True,REGULAR,USD
1,AAPL240802C00115000,2024-07-01 14:19:54+00:00,115.0,100.06,102.4,105.3,0.0,0.0,4,4,2.68750328125,True,REGULAR,USD
2,AAPL240802C00125000,2024-07-30 16:17:44+00:00,125.0,92.13,93.4,94.3,-2.4700012,-2.610995,10,2,2.3671915820312495,True,REGULAR,USD
3,AAPL240802C00135000,2024-07-29 19:47:58+00:00,135.0,84.12,83.4,84.3,0.0,0.0,4,10,2.0625048437499998,True,REGULAR,USD
4,AAPL240802C00140000,2024-07-30 19:02:50+00:00,140.0,78.25,78.4,79.3,-0.3600006,-0.45795777,4,3,1.9218753906250001,True,REGULAR,USD
5,AAPL240802C00145000,2024-07-30 19:02:50+00:00,145.0,73.25,73.4,75.25,-0.3899994,-0.52960265,3,156,2.4785194287109373,True,REGULAR,USD
6,AAPL240802C00150000,2024-07-30 16:50:38+00:00,150.0,67.0,68.4,70.25,-1.5,-2.189781,15,120,2.3007854980468747,True,REGULAR,USD
7,AAPL240802C00155000,2024-07-30 16:50:38+00:00,155.0,62.03,63.4,65.25,-1.4700012,-2.3149626,15,73,2.1298874877929688,True,REGULAR,USD
8,AAPL240802C00160000,2024-07-30 16:29:02+00:00,160.0,56.87,58.4,60.25,-1.7400017,-2.9687796,16,16,1.962890810546875,True,REGULAR,USD
9,AAPL240802C00165000,2024-07-30 19:47:09+00:00,165.0,54.35,53.4,55.25,0.54999924,1.0223035,50,38,1.798829130859375,True,REGULAR,USD
10,AAPL240802C00170000,2024-07-30 18:24:58+00:00,170.0,48.75,48.4,50.25,-0.36999893,-0.7532552,30,157,1.6386736816406249,True,REGULAR,USD
11,AAPL240802C00175000,2024-07-30 17:23:09+00:00,175.0,42.42,43.4,44.35,-1.2600021,-2.8846202,26,329,1.08203583984375,True,REGULAR,USD
12,AAPL240802C00180000,2024-07-30 18:58:01+00:00,180.0,39.56,38.45,40.25,0.65999985,1.6966577,44,569,1.3398470507812497,True,REGULAR,USD
13,AAPL240802C00185000,2024-07-30 15:15:35+00:00,185.0,32.75,33.45,34.3,-1.0499992,-3.1065066,22,839,0.8398453515625,True,REGULAR,USD
14,AAPL240802C00190000,2024-07-30 19:47:23+00:00,190.0,29.55,28.55,29.4,0.9399986,3.2855597,67,827,0.8261736132812498,True,REGULAR,USD
15,AAPL240802C00195000,2024-07-30 19:22:16+00:00,195.0,23.99,23.55,24.3,0.2800007,1.1809392,343,9922,0.657229990234375,True,REGULAR,USD
16,AAPL240802C00197500,2024-07-30 19:30:03+00:00,197.5,21.44,21.1,22.65,-0.40999985,-1.8764294,11,269,0.8129901513671874,True,REGULAR,USD
17,AAPL240802C00200000,2024-07-30 19:59:02+00:00,200.0,19.7,18.8,19.85,0.80000114,4.2328105,517,9943,0.7192410888671875,True,REGULAR,USD
18,AAPL240802C00202500,2024-07-30 16:33:36+00:00,202.5,15.23,16.45,17.2,-1.7700005,-10.411767,7,143,0.6425816992187501,True,REGULAR,USD
19,AAPL240802C00205000,2024-07-30 19:28:26+00:00,205.0,15.2,14.4,14.9,0.8999996,6.2937036,3893,4243,0.6508823974609376,True,REGULAR,USD
20,AAPL240802C00207500,2024-07-30 19:59:08+00:00,207.5,12.65,12.2,12.55,0.19999981,1.6064242,89,802,0.6127968408203126,True,REGULAR,USD
21,AAPL240802C00210000,2024-07-30 19:58:25+00:00,210.0,10.8,10.1,10.65,0.75,7.4626865,1085,2372,0.6098671826171876,True,REGULAR,USD
22,AAPL240802C00212500,2024-07-30 18:56:09+00:00,212.5,9.26,8.3,8.65,1.0100002,12.242427,321,1192,0.5981485498046876,True,REGULAR,USD
23,AAPL240802C00215000,2024-07-30 19:59:21+00:00,215.0,7.05,6.75,7.2,0.5,7.6335874,2092,5596,0.6169471899414063,True,REGULAR,USD
24,AAPL240802C00217500,2024-07-30 19:59:07+00:00,217.5,5.4,5.35,5.5,0.3000002,5.8823566,6589,4248,0.6015664843750002,True,REGULAR,USD
25,AAPL240802C00220000,2024-07-30 19:59:51+00:00,220.0,4.15,4.05,4.2,0.25,6.4102564,22693,27215,0.5925333715820313,False,REGULAR,USD
26,AAPL240802C00222500,2024-07-30 19:59:31+00:00,222.5,3.03,3.0,3.1,0.14999986,5.2083282,9487,6942,0.584965087890625,False,REGULAR,USD
27,AAPL240802C00225000,2024-07-30 19:59:56+00:00,225.0,2.17,2.01,2.21,0.13000011,6.372555,24220,12074,0.5676312768554688,False,REGULAR,USD
28,AAPL240802C00227500,2024-07-30 19:59:56+00:00,227.5,1.5,1.36,1.52,0.110000014,7.9136705,8361,8937,0.5600629931640625,False,REGULAR,USD
29,AAPL240802C00230000,2024-07-30 19:59:55+00:00,230.0,0.97,0.96,1.0,0.08000004,8.988769,14704,31284,0.5600629931640625,False,REGULAR,USD
30,AAPL240802C00232500,2024-07-30 19:59:58+00:00,232.5,0.61,0.52,0.66,0.050000012,8.928573,4741,5208,0.5454147021484376,False,REGULAR,USD
31,AAPL240802C00235000,2024-07-30 19:59:46+00:00,235.0,0.39,0.37,0.4,0.059999973,18.181808,14175,17185,0.5498091894531252,False,REGULAR,USD
32,AAPL240802C00237500,2024-07-30 19:59:27+00:00,237.5,0.23,0.22,0.24,0.02000001,9.523814,1903,3842,0.5468795312500001,False,REGULAR,USD
33,AAPL240802C00240000,2024-07-30 19:59:31+00:00,240.0,0.15,0.13,0.16,0.02000001,15.384624,4616,12080,0.551762294921875,False,REGULAR,USD
34,AAPL240802C00242500,2024-07-30 19:59:57+00:00,242.5,0.09,0.08,0.11,0.020000003,28.571432,2905,3908,0.5625043750000001,False,REGULAR,USD
35,AAPL240802C00245000,2024-07-30 19:58:44+00:00,245.0,0.05,0.05,0.08,0.0,0.0,4262,30478,0.57617611328125,False,REGULAR,USD
36,AAPL240802C00247500,2024-07-30 19:59:15+00:00,247.5,0.05,0.03,0.05,0.020000001,66.66668,385,2587,0.5820354296875,False,REGULAR,USD
37,AAPL240802C00250000,2024-07-30 19:58:21+00:00,250.0,0.03,0.02,0.03,0.0,0.0,1995,15588,0.585941640625,False,REGULAR,USD
38,AAPL240802C00252500,2024-07-30 19:59:20+00:00,252.5,0.02,0.01,0.02,0.0,0.0,63,2996,0.5937540625000001,False,REGULAR,USD
39,AAPL240802C00255000,2024-07-30 19:52:49+00:00,255.0,0.01,0.01,0.02,-0.01,-50.0,340,1986,0.6250037500000001,False,REGULAR,USD
40,AAPL240802C00257500,2024-07-30 19:44:01+00:00,257.5,0.01,0.0,0.01,0.0,0.0,15,598,0.5937540625000001,False,REGULAR,USD
41,AAPL240802C00260000,2024-07-30 19:16:11+00:00,260.0,0.01,0.0,0.0,0.0,0.0,23,3947,0.500005,False,REGULAR,USD
42,AAPL240802C00265000,2024-07-30 15:30:03+00:00,265.0,0.01,0.0,0.01,0.0,0.0,21,1220,0.6875031250000001,False,REGULAR,USD
43,AAPL240802C00270000,2024-07-30 16:03:29+00:00,270.0,0.01,0.0,0.01,0.0,0.0,2,1750,0.7500025,False,REGULAR,USD
44,AAPL240802C00275000,2024-07-29 18:38:45+00:00,275.0,0.01,0.0,0.01,0.0,0.0,18,1020,0.8125018749999999,False,REGULAR,USD
45,AAPL240802C00280000,2024-07-29 13:33:34+00:00,280.0,0.01,0.0,0.01,0.0,0.0,25,20986,0.87500125,False,REGULAR,USD
46,AAPL240802C00285000,2024-07-29 13:30:41+00:00,285.0,0.01,0.0,0.01,0.0,0.0,4,1650,0.937500625,False,REGULAR,USD
47,AAPL240802C00290000,2024-07-29 19:31:29+00:00,290.0,0.01,0.0,0.01,0.0,0.0,6,425,0.98437515625,False,REGULAR,USD
48,AAPL240802C00295000,2024-07-30 13:30:05+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1,549,1.0312548437500002,False,REGULAR,USD
49,AAPL240802C00300000,2024-07-30 18:32:15+00:00,300.0,0.01,0.0,0.01,0.0,0.0,120,774,1.09375453125,False,REGULAR,USD
