,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240802P00100000,2024-06-17 13:30:57+00:00,100.0,0.02,0.0,0.07,0.0,0.0,,1,3.1250021875,False,REGULAR,USD
1,AAPL240802P00105000,2024-07-24 13:45:46+00:00,105.0,0.01,0.0,0.0,0.0,0.0,1.0,1,0.500005,False,REGULAR,USD
2,AAPL240802P00110000,2024-07-25 14:08:39+00:00,110.0,0.01,0.0,0.01,0.0,0.0,,1,2.3125042187499996,False,REGULAR,USD
3,AAPL240802P00115000,2024-07-30 17:00:53+00:00,115.0,0.01,0.0,0.01,0.0,0.0,120.0,550,2.1875045312499997,False,REGULAR,USD
4,AAPL240802P00120000,2024-07-30 15:03:46+00:00,120.0,0.01,0.0,0.0,0.0,0.0,9.0,8,0.500005,False,REGULAR,USD
5,AAPL240802P00125000,2024-07-17 13:48:00+00:00,125.0,0.01,0.0,0.01,0.0,0.0,,2,1.9375003125,False,REGULAR,USD
6,AAPL240802P00130000,2024-07-25 14:10:05+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1.0,103,1.8125009374999999,False,REGULAR,USD
7,AAPL240802P00135000,2024-07-25 13:30:03+00:00,135.0,0.02,0.0,0.01,0.0,0.0,1.0,372,1.6875015625,False,REGULAR,USD
8,AAPL240802P00140000,2024-07-29 13:30:01+00:00,140.0,0.02,0.0,0.01,0.0,0.0,5.0,60,1.5625021874999998,False,REGULAR,USD
9,AAPL240802P00145000,2024-07-29 17:33:26+00:00,145.0,0.01,0.0,0.03,0.0,0.0,1.0,33,1.5781271093749998,False,REGULAR,USD
10,AAPL240802P00150000,2024-07-29 19:40:16+00:00,150.0,0.01,0.0,0.01,0.0,0.0,35.0,111,1.3125034374999998,False,REGULAR,USD
11,AAPL240802P00155000,2024-07-29 18:36:15+00:00,155.0,0.01,0.0,0.02,0.0,0.0,506.0,575,1.2812535937499998,False,REGULAR,USD
12,AAPL240802P00160000,2024-07-30 19:21:50+00:00,160.0,0.01,0.0,0.01,-0.01,-50.0,47.0,718,1.125004375,False,REGULAR,USD
13,AAPL240802P00165000,2024-07-30 17:44:29+00:00,165.0,0.01,0.0,0.03,-0.01,-50.0,346.0,2332,1.109379453125,False,REGULAR,USD
14,AAPL240802P00170000,2024-07-30 17:53:24+00:00,170.0,0.03,0.01,0.03,0.01,50.0,115.0,1837,1.0312548437500002,False,REGULAR,USD
15,AAPL240802P00175000,2024-07-30 19:58:40+00:00,175.0,0.03,0.02,0.03,-0.01,-25.0,364.0,1190,0.9531254687499999,False,REGULAR,USD
16,AAPL240802P00180000,2024-07-30 19:59:12+00:00,180.0,0.04,0.03,0.04,0.0,0.0,82.0,3496,0.87500125,False,REGULAR,USD
17,AAPL240802P00185000,2024-07-30 19:50:33+00:00,185.0,0.05,0.05,0.06,-0.02,-28.571428,249.0,1821,0.8085956640624999,False,REGULAR,USD
18,AAPL240802P00190000,2024-07-30 19:59:03+00:00,190.0,0.1,0.08,0.09,0.009999998,11.111108,689.0,1922,0.73633076171875,False,REGULAR,USD
19,AAPL240802P00195000,2024-07-30 19:57:26+00:00,195.0,0.14,0.15,0.17,-0.030000001,-17.647058,807.0,2041,0.68555001953125,False,REGULAR,USD
20,AAPL240802P00197500,2024-07-30 19:59:17+00:00,197.5,0.21,0.21,0.23,-0.010000005,-4.545457,1232.0,3125,0.659183095703125,False,REGULAR,USD
21,AAPL240802P00200000,2024-07-30 19:59:49+00:00,200.0,0.31,0.28,0.33,-0.00999999,-3.1249971,4085.0,10510,0.6337927246093751,False,REGULAR,USD
22,AAPL240802P00202500,2024-07-30 19:58:19+00:00,202.5,0.43,0.45,0.48,-0.049999982,-10.416663,2405.0,848,0.62305064453125,False,REGULAR,USD
23,AAPL240802P00205000,2024-07-30 19:59:25+00:00,205.0,0.68,0.56,0.71,-0.06999999,-9.333332,8832.0,12766,0.5961954443359375,False,REGULAR,USD
24,AAPL240802P00207500,2024-07-30 19:59:56+00:00,207.5,1.03,1.01,1.05,-0.07000005,-6.363641,10463.0,4550,0.6035195898437502,False,REGULAR,USD
25,AAPL240802P00210000,2024-07-30 19:59:48+00:00,210.0,1.5,1.4,1.5,-0.100000024,-6.250001,10544.0,11513,0.5883830224609375,False,REGULAR,USD
26,AAPL240802P00212500,2024-07-30 19:59:32+00:00,212.5,2.15,2.12,2.31,-0.14999986,-6.5217333,5727.0,5306,0.6040078662109377,False,REGULAR,USD
27,AAPL240802P00215000,2024-07-30 19:59:56+00:00,215.0,3.0,2.94,3.05,-0.20000005,-6.250001,11175.0,9962,0.5927775097656252,False,REGULAR,USD
28,AAPL240802P00217500,2024-07-30 19:59:36+00:00,217.5,3.95,3.95,4.1,-0.24999976,-5.952376,5592.0,3446,0.5888712988281251,False,REGULAR,USD
29,AAPL240802P00220000,2024-07-30 19:59:21+00:00,220.0,5.25,5.15,5.35,-0.25,-4.5454545,4152.0,8596,0.5830119824218749,True,REGULAR,USD
30,AAPL240802P00222500,2024-07-30 19:57:17+00:00,222.5,6.2,6.55,6.75,-0.8000002,-11.428574,752.0,2929,0.5717816259765626,True,REGULAR,USD
31,AAPL240802P00225000,2024-07-30 19:56:46+00:00,225.0,7.6,7.4,8.55,-1.02,-11.832947,1452.0,8243,0.5185595019531251,True,REGULAR,USD
32,AAPL240802P00227500,2024-07-30 19:32:15+00:00,227.5,10.15,9.1,10.5,-0.15000057,-1.4563162,356.0,2592,0.5014698291015626,True,REGULAR,USD
33,AAPL240802P00230000,2024-07-30 19:58:08+00:00,230.0,11.65,11.7,12.5,-0.8500004,-6.800003,1778.0,7177,0.543949873046875,True,REGULAR,USD
34,AAPL240802P00232500,2024-07-30 19:57:03+00:00,232.5,13.39,13.35,14.7,-1.2599993,-8.6006775,143.0,685,0.64062859375,True,REGULAR,USD
35,AAPL240802P00235000,2024-07-30 19:48:45+00:00,235.0,15.69,15.25,16.95,-0.9499998,-5.709134,119.0,2019,0.6547886083984377,True,REGULAR,USD
36,AAPL240802P00237500,2024-07-30 18:00:28+00:00,237.5,19.96,17.65,19.35,0.9899998,5.2187653,61.0,160,0.694338994140625,True,REGULAR,USD
37,AAPL240802P00240000,2024-07-30 19:37:00+00:00,240.0,21.11,20.0,21.75,-0.48999977,-2.2685175,41.0,129,0.7270535107421875,True,REGULAR,USD
